INCIDENCECODE,DESCRIPTION
2338321476610,salgan
2339160280081,técnicas
2341267876273,explotando
2341346352921,morir
2342382200828_1,moral
2348479019463,usa
2352607632608,evitar
2355852436227_0,único
2355852436227_1,mayores.-No
2360088057637_1,dice
2362871878775,ministerial
2373462043114_1,obra
2373462043114_2,ido
2373618174331,solicitado
2376117662161,podrá
2380335657684,partidario
2383181306519,abierto
2386527588346,quéopispos
238809393672_0,Madrid
238809393672_1,primer
2389184773544_1,alemana
2391133977338_1,entiendeque
2391133977338_2,»
2401105909813,tremenda.-¿Es
2407340124478,Efe
2408135725704,seguir
2410619115719,echan
2415458870042,escritos
2420039760176,azulgrana
2420803257646_1,esforzarse
2422160362780_0,ira
2422160362780_1,Francia
242658982932,extiende
2431616967136,puesta
2432741601339,llenado
2434700137644,participaba
2435318319348,viven
2435985873371,Miike
2437113822013,casa
2440666403807_1,comienza
2442117509097,triunfar
2447547075626,precios
2449465951122,ley
2453030943573,nacido
2459201850660,modificado
2461213824114,revalidado
2464101687616,Piñeyro Hernández
2464900223183,asociados
2466400408687_1,plantea
2466785140674_1,dio
248399930091_1,ha
2484644678921,propusieron
248486613306_1,telefonía
2493002292834,provocado
2495306433220,muestra
2496612235507_1,hace
2496612235507_2,mundo
250072781131,abarrota
2502459061631,hicimos
2503536588041,explica
250490991760_0,impera
250490991760_1,va
250490991760_2,elogiando
2505789359205,tiene
2508302097750,acabe
2508477453069,reconocen mantener
2512665216831,berberechos
2517693982854,evoluciona
2523129513377_1,igual
2529092117438_1,cumpliendo
2529179590805,bebiéndose
2533020993331,todavía
2534716578235_1,Martínez
2536284105243,SGAE
2540586021775,estuvo
254473322214_1,Navidad
255866550212_1,antigüedadHace
2563692858574,comercializada
2567890145655_0,emitió
2567890145655_1,trocaban
2573909126844_1,hacer
2579806583529_1,manifestado
2583252187676,desarrollará
2584298107444,España
2585198056023,público
2586050481789,lobos
2587994554979,especificado
2595743769765_0,encontrar
2595743769765_1,ganó
2598943685709,porcentaje
2602020854781,sanciones
2605616715144,encuentran
2611122131150,sabe
2612838892662,llevarlo
2619634475810,últimas
2626324898724,español
2628935009492,portuguesa
264437399657_0,tiran
264437399657_1,Hagens
2647898512048,dice
2648045855288,última
2648487729674,ganar
2650646422833_1,tratados
2655064643193,Médicos
2656829843608_0,Temporada
2656829843608_1,IAC
2660964070602_0,proteger
2660964070602_1,participamos
266305686089,Lequio
2667346120761,vuelo
2667542135305_1,llevarlo
2669844754372,pedido
2671681554907,siendo
2682371334632_1,repetir
2682914057920,interpretan
2687893782094,recibido
269030687364_1,Pilar
2694794104462,aumentando
2697067692837_0,obligaron
2697067692837_1,popularizar
2697067692837_2,tenido
2697067692837_3,condenara
2703036889089_1,ha entrar
2723495126518_1,utilizar
2723495126518_2,Piñeyro
2730443036817_1,considera
2736487247168,convierte
273850223506,remontó
2738668140032,responsabilidad
2746121469474,dice
274888394209_1,Albert
2751764546320,integrado
2756943889127_0,Cataluña
2756943889127_1,parar
2757744033345,sigan
2767248658549_1,situó
276758911893,achacan
2768235984802_1,rotundo
2769149541226_0,inició
2769149541226_1,Santa
2769149541226_2,Dylan
2772038166557_1,Pablo
2774110340645,Atlántica
2790988226884,destacaron
279199072482,bate
279229843969_1,pasó
2795394888567,durar
2795618734775,muerte
2797701207793,sacó
2799021065443,investigación
280030319655_1,detenido
2803350334672_1,devolver
2815254679127,cuidado
2817689004463_0,punto
2817689004463_1,reverberó
282472204443,convocar
2827260647872_0,observará
2827260647872_1,igual
2830706563656,ver dio
2834441311016_1,Real
2834441311016_2,Zarzalejos
2844842752788,sustituidos
2851565023548,denomina
2859410972361_1,aspiran
2861385306600_1,manifestaron
2862665384356_0,genital
2862665384356_1,plantear
2871532324236,verde
2873602463224_1,sabe
2876210948936,oportunidad
2876211517111,entrar
2876901745537,práctica
2877377645442,instalaron
2881512775500,tiene
2885498551471_1,regresar
2885711606873,Nuevo
2894053703132,tememos
289523435926,Liga
2896161627342_0,necesitará
2896161627342_1,participar
2909436036019,Saviola
2911086697291,negaban
2916860354200_1,recaer
2916860354200_2,dando
2917634523044_1,celebró
2918001889467,eran quedará
292383953773,vista
2924295973293,aluden
2927507195493_0,Journal
2927507195493_1,Galp
2929436089546_0,realidad
2929436089546_1,marcado
2930977597312,discos
2948289563143,limitaron
2957046129705_1,presentan
2957677812859,van
2958035986309_1,jugarán
297624888145,inclinaba
2977843026461_1,Camp
2977843026461_2,francesa
2979188782723_0,aprenhendido
2979188782723_1,ruego
2979582875607,acabado
2981468846774_0,Charlie
2981468846774_1,entorno
2982452882160,afectadas
2990540708149,paga
2993983880832_1,dejar
2994147454362,abandonar
3006481342185,amenazaron
3006740713428,Quiero
3008039396470,cambiar
3012084410014_1,ver
3013919356959,crear presidió
3015108418839,enfrenta
3021388771498_0,intrínsecas
3021388771498_1,afecten
3022801043354,comienza
3029811205088_1,logró
3029811205088_2,guste
302990244207_0,espaciadas declaradas
303055297060_1,interfiere
303055297060_2,vende
3030922893651_1,Grove
3030922893651_2,paso
3032464273758_1,película
3034704810986,reverberó
3035268380306_1,desangrada
303930467096,traerá
3039716650752,dirá
3042080737384,muestra
304525669670_1,numerosas
304525669670_2,Sociedad
304644352808,renunciar
3046702291215_1,repitiera
3048252281521,investigación
3052040091334_1,VictoriaEugenia
3052040091334_2,Beatriz
3054780420118,llegar
3055713724278,muralla
3063705466971,responde
3066082825756,Estado
3067638645138,compara
3071311601084,confirmado
3077160917430_1,Consejo
3078400522661,pretender
3079736801924,Creo
3082238778553_0,repetirá
3082238778553_1,Figueras
3082238778553_2,Estados
3084798148265,Euba
3089776039120_1,afirmó
3100097403428,pequeño importantes israelíes amplio humanos aéreos
3105712743471,pasos
3108965933902,situados artificial respectivas interesantes necesaria mayor
3117741044769_1,informó
3124885491883_1,resistir
3128855379128_0,estirar
3128855379128_1,Olmo
3132684885773_0,quedé
3132684885773_1,Argentina
3132684885773_2,Camp
3136459893145,falsa
313675818502,depuren
3139653762238,tendrán
3143630635275,convierte
3143962581263_0,Irak
3143962581263_1,espectacular
3149247152014_1,bailar
3149247152014_2,Ministerio
3149247152014_3,hecho
3153380665036_0,Fernando
3153380665036_1,MADRID
3156993981160_1,causada
3158099391483,haciendo
315913012081,extendía
3171224973807_0,tiempo
3171224973807_1,indefinición
3172124076558,mariquita
3174247745780,llevaba
3174623524090_0,Asia
3174623524090_1,Portugal
3184431623089_1,Industrial
3195131444863,resaltó
3195798495405,regresaron
3196656004317,canal
3196956107693_1,Ciencia
3196956107693_2,destinados
3196956107693_3,reducirá
3198393220064_1,realizará
3203826994832,asegura
3204360560084,sufre
3205871440265_0,ocurrió
3205871440265_1,regresaba
3205871440265_2,Sociedad
3205871440265_3,tenía
3206348259145,Sanne
3206689637561,proyecto
3214050431237,promocionamos
3232691226160,participan
3239487775725_1,reacciona
3239487775725_2,morder
3239487775725_3,coger
3248696399715_0,decrete
3248696399715_1,uniendo
3249977575350,indudable
3250139736372,es
3255949467679,forma
3257300937221,Siemens
3259624511337_0,tiene
3259624511337_1,quiere
3259624511337_2,Arrabal
326986242397,escogerán
3276624651632,rebajado
3280103374787,integran
3281168091403_0,Salazar
3281168091403_1,establece
3286129573690_0,crea
3286129573690_1,importante
3297217392250,conocen
3297766672726_1,gustó
3304383544701,conviven
3304943400163_0,Ian
3304943400163_1,pertenecen
3305378447717,quieren
3313239953405_0,Natividad
3313239953405_1,Riquelme
3322735353326_0,sostuvo
3322735353326_1,queda
3323338603416,Irak
3323614987641_1,consideraba
3324105008796,dictado
3325644155388_0,más
3325644155388_1,relativa
3334162372281,informó
3338355677011_1,Recordaba
3339522265260,binario hecho grandes moral única cometido
3339643790065,esfuerzo
3340940814248,equilibrar
334247683456,representaría
3342513496120_0,uso
3342513496120_1,millones
3342513496120_2,tocado
3342513496120_3,termina
3342513496120_4,olvidar
3347999286106_1,homogeneizar
3347999286106_2,HPV
3347999286106_3,ordenar
3349481349655_0,pidieron
3349481349655_1,habíanpresentado
3349695569227_0,imparable
3349695569227_1,quiere
3358545168106,dosis
3360093304466_1,desapareció
3361854090766_1,mesa
3361949357554_0,magnesio
3361949357554_1,Energía
3363140791305,realizó
336814058756,leyó
3371194811219,Vizcaya
3371985680799_1,OCDE
3376052634111,trabajé
3380838166988,compatibilizar
3384488300781_1,afectarán
3384488300781_2,aspectos »
3389438222228,actualiza
3391733291016,padre
3393423047636_1,tenía
3403781975835,salido
3409342455911,adultas-
3411711906619_1,imputados
3417621675916_1,Empezó
3417621675916_2,belicista
3425225937297_1,sufrió
3425225937297_2,África
3425225937297_3,acabó
3425510128314,participantesen
3434001239385,venta
3435535837841,brindaron
3441655253611_1,enveneno.-No
3444943024695,Empecé
3446663841536_0,Lorenzo
3446663841536_1,cerrar
3446663841536_2,Via
3447439759669_1,hará
3447786533597_0,venció integran
3447786533597_1,organizado
3457473732138,Comunidades
3458608879489_0,estudios
3458608879489_1,ido
3458736781443_1,acusación
3464414656298,sector
3470976135682_1,Eslovaquia
3473818902467_0,desconfiado
3473818902467_1,hacíamos
3475558896117,emplear
3477263882293,imposible
3481380629275,señaló
3481676675231_0,merecían
3481676675231_1,Fomento
3481676675231_2,Educación
3482813803104,vivió
3488559319491,achacan
3491396579116,aéreos
3495046622692,ocurre
3495910129307,conmutada
350309327387_0,Cáritas
350309327387_1,ingresado
3507111641427,diré
3509169791362_1,Ericsson
351014777076,sustituirá
3514818931762_1,permiten
351615794581,mejores
3520202967756,clasificación
3523423966120,vender
3527542179598_0,terrorista
3527542179598_1,decidido
3537090562261_1,muerto
3537090562261_2,confiere
3537090562261_3,gusta
3537274007685_1,Audienciarecuerda
3538399874926_1,llegando
35460084478,figuras
3549886101044,comprometidos
3550014927170_0,nombre
3550014927170_1,tratada
3551973764451,fallaron
3560731134747,plantea
3566498392211,cuota
3570551413586,vive
3578908291849,vivir
3579042706868,decirse
3579237209578,producirse
3592357132894,exige
3599329811268_0,ven
3599329811268_1,Miguel
3603155099270_1,Vivendi
3603155099270_2,apuntaba
3605187557700_0,parecía
3605187557700_1,hoy
3605187557700_2,dijo
3605187557700_3,esperar
3607370784837,casi
3616339539810_1,Jorge
3616992440273_1,aspirar
3616992440273_2,Telecom
3616992440273_3,Barcelona
3622991935908,murió
362454773819_1,recoge
362539359457_1,cuenta
362539359457_2,coche
362539359457_3,dar
3628421751698,vivido
3631516983200_0,es pasado
3631516983200_1,operacionesen
3633929337537_1,Rodrigo.«Maricarmen
3634590946176,franja últimos
3637559870563_1,Álvarez
3639258708043_1,habla
3639258708043_2,querecordó
3639258708043_3,The
3644620745816,pasadas
3654493235698,nacido
3656205452323_1,determinar
3660215976135,pista
3663406991923,abierto
3664573141131,dejaba
366763461720_1,Impelidos
3670296526160_1,derrotado
3676230352978_0,levantó
3676230352978_1,puesto
368836708626,perder
3692502970754_0,seguido
3692502970754_1,Sandra
3695992649634,Pipo
3697140122161_0,rey
3697140122161_1,Hace
3697140122161_2,potenciando
3697705371963,-galardonada
3697740715198,rescatado
3697841184225_0,dejó
3697841184225_1,España
3697841184225_2,Corretja
3700628277201,todavía
370501323073,gusta
3705303513941_1,impresentable
3710683707601,pensar
3711679050089,pisaron
3714154499107_0,antes
3714154499107_1,sucede
3718501167037,conseguido
3719363495587_1,primeros
3726208239392,Ciudad
372878148720,empleo
3734155538000,daba
3737137814655,superior.-
3737869516167,navegar
3738232086297_1,Barcelona
3739378952881,tenemos
374376447075_1,Carril
3749949528467_1,recibieron
3751220847977,revalorizado
3758234707919_1,upon
3760292297894_1,sea señalar
3761688540566,asumieron
3776539004196_1,cancionero
3781795826212_1,nació
3789827994059_0,Johnhawk
3789827994059_1,Civil
3789827994059_2,Arrabal
3793021490921_1,escucharle
3793586326652_1,Teorema»-
3796967927548,contratarle
3801224390919,durará
3801224686467,estarán
380294782908_1,Vega
380294782908_2,Rufino
381514746304,función
3817535669924,levanta
3817681879112,ls
3819667854048_1,provocada
3820071292073,amontonándose
3820177875100,salir
3823295563956,publicó
3823942704676,permite
3838957779680,años
383927142887,revisarse
3853904792164,comentó
3854755567451_1,Dylan
3856833656641_1,conocido
3861951156986,zona
3864603431086_0,central
3864603431086_1,respondiendo
3876151014632,final
3876798483027,realizar
3877176795933_0,acabó
3877176795933_1,ingleses
3877176795933_2,Cho
389168291131,polvorín
3892390679937,rigen
3894249792428_1,perder
3895622272245_1,sirva
3895622272245_2,contestaría
3899150363835,presta
3899961273910,niveles
3901905769771_1,importantes
3901905769771_2,Colomán
390437029057,disponer
3906306623136,vi
391120316916,conjuntos
391949672893_1,considerado
3922202154419,Depende
3924074675311,manifestaron
3929883150132_1,subrayó
3932477067994_0,Economía
3932477067994_1,Times
3934191264684_1,Salud
3934191264684_2,Gutiérrez
3936026439807,ganamos
393632741685,inclinaba
3939706471989,practican
3942771261327,cumplir
3944480041049_1,Fiscalía
3944480041049_2,echa
3944739705809,sellar
3953648023003,estructura
3953989658268_0,murieron
3953989658268_1,Paul
3954017553236,parecido
3959368890383_1,Amaya
3964690919664_0,causó
3964690919664_1,refugiaron
3965609006619_0,llegar
3965609006619_1,ganó
3974236602669,adquirió
3980730578145_0,quiere
3980730578145_1,mandó
3981107106302,celebró
3985319603,compararon
3986726683933,alegadas
3988115115880,suponer
3994796128127,teman
3999453406154,CC.OO
4006450606144,fallaron
4006802799489,despedida
4013137538973,detenido
4017202438682,acercó
4023332995646_1,Guthrie
4023332995646_2,Mayor
4023341081251,demagogias
4025317477612_0,reverberó
4025317477612_1,RODRIGO
4025392147701_1,prolongarse
4026091668137_0,es
4026091668137_1,informaban
4026091668137_2,Gustavo
4026091668137_3,lograron
4032848379949,teníamos
4033810685942,Javier
4036133836973,traduzco
4043189071571_1,sumergirse
4048358207895,Ejército
4050878700209_1,realizar
4056159008485_1,Madrid
4060788669011_1,Nigeria
4062706292367,resulta
4065125888323,escapar
4069237531393,habíanpresentado
4074328305717_0,calificada
4074328305717_1,dirigía
4074328305717_2,produjo
4074328305717_3,Cristóbal
4075192795342_0,dirección
4075192795342_1,buenos
4084583604115_0,queda
4084583604115_1,crrear
4086099493229,emplear
4087417584708,hacer
4098418524743,está
4099505653725_0,imputados
4099505653725_1,Mr
4099505653725_2,contribuido
4104348695911,Real
4105000208155,padres
4106103629225_1,Unión
4109179972748_0,dado
4109179972748_1,planteado
4115575710798,culpa
4115603151329,creado
4116495905508_0,informa
4116495905508_1,aprovechar
4116495905508_2,Gobierno
4116495905508_3,descubrió
4116495905508_4,Hasi
4118105002854,determinados
4121094315580_0,vuelve
4121094315580_1,jugar
4121094315580_2,Arnés
412193478235_1,saturados
4122472504624,inversión
4124397949455_0,punto
4124397949455_1,telecomunicaciones
4124823815540_1,mar
4124861435934,enfrentase
4125476943065_1,reciente
4127015738289,Carlos
4127893503253,hace
4128825860648_0,dato
4128825860648_1,disputan
4130530398323_0,decidió
4130530398323_1,quedarme
4130530398323_2,incendiaron
4137368791905_0,salido
4137368791905_1,cantidad
4137564957834_0,compendian
4137564957834_1,une
413942574972,Carlos
4140570658081,está
4140668844452,olvidar
4143107077883,partido
4143828512963_0,Hizo
